zip_code,square_footage,bedrooms,bathrooms,year_built,lot_size_acres,renovation_status,property_type,garage_spaces,price
78701,1443,2,2.5,1955,0.18,Minor (Cosmetic),Single Family,0,561400.0
80202,1350,2,3.0,1966,0.08,Minor (Cosmetic),Single Family,3,596500.0
10001,1194,1,2.5,1945,0.037,Full Gut Rehab,Condo,2,1151300.0
94102,3362,4,6.0,1981,0.33,Major (Structural/Systems),Single Family,2,2584000.0
98101,1319,3,4.0,1955,0.17,Minor (Cosmetic),Single Family,2,762900.0
85001,2805,4,5.5,1984,0.08,None,Single Family,2,805500.0
98101,2935,5,6.0,1942,0.08,None,Single Family,2,1506000.0
78701,955,1,1.5,1979,0.22,Minor (Cosmetic),Single Family,2,427200.0
60601,2159,3,3.5,1959,0.118,Major (Structural/Systems),Townhouse,2,831500.0
98101,1406,2,3.0,1946,0.021,Minor (Cosmetic),Condo,1,656200.0
85001,1659,2,2.5,1998,0.055,None,Townhouse,1,487300.0
85001,3439,5,6.0,1950,0.09,Minor (Cosmetic),Single Family,1,981800.0
02108,3352,6,6.0,1991,0.43,Minor (Cosmetic),Single Family,2,2431600.0
78701,2577,4,5.5,1942,0.86,Minor (Cosmetic),Single Family,2,1179400.0
02108,1596,3,4.0,1960,0.046,Major (Structural/Systems),Townhouse,2,1073500.0
02108,759,1,1.5,1992,0.04,None,Condo,0,435700.0
90210,2471,3,4.5,1969,0.24,Minor (Cosmetic),Single Family,0,1936400.0
33101,2927,5,6.0,1950,0.61,Full Gut Rehab,Single Family,1,1673200.0
78701,2256,3,3.5,2020,0.19,Major (Structural/Systems),Single Family,1,1285700.0
90210,550,1,1.5,1964,0.01,None,Condo,2,413700.0
02108,2370,3,4.0,1989,0.095,Minor (Cosmetic),Townhouse,2,1516100.0
30301,1166,3,3.0,1948,0.042,Minor (Cosmetic),Condo,0,331500.0
10001,2215,4,4.5,1984,0.81,None,Single Family,2,1835500.0
94102,3142,4,5.5,1968,0.29,None,Single Family,2,2084200.0
80202,3643,6,6.0,2001,0.08,Major (Structural/Systems),Single Family,4,2002400.0
85001,800,1,1.5,1954,0.16,Minor (Cosmetic),Single Family,1,257700.0
10001,2825,5,6.0,1958,0.54,Minor (Cosmetic),Single Family,1,2480800.0
33101,600,1,1.5,1954,0.03,None,Condo,1,272400.0
60601,1274,1,2.5,1978,0.038,None,Condo,2,417800.0
10001,2595,4,4.5,1974,0.08,Full Gut Rehab,Single Family,1,2648800.0
60601,2086,3,4.5,1952,0.046,None,Townhouse,1,699700.0
98101,2125,4,4.5,1955,0.4,None,Single Family,1,1067800.0
33101,1095,2,2.5,2006,0.12,None,Single Family,2,589600.0
33101,2162,3,4.0,1994,0.17,None,Single Family,2,1027800.0
78701,2805,5,6.0,2004,0.36,Minor (Cosmetic),Single Family,3,1476000.0
94102,3261,5,6.0,1974,0.08,Minor (Cosmetic),Single Family,3,2280100.0
75001,1621,3,4.0,1955,0.63,Minor (Cosmetic),Single Family,2,497300.0
98101,3270,6,6.0,1940,0.08,Minor (Cosmetic),Single Family,3,1775500.0
10001,2681,4,5.0,1989,0.46,Minor (Cosmetic),Multi-Family,1,2708600.0
90210,2771,5,6.0,1953,0.12,None,Single Family,2,2189100.0
33101,2117,3,4.5,2001,0.11,Major (Structural/Systems),Single Family,3,1235600.0
33101,2636,4,5.5,1946,0.6,Minor (Cosmetic),Single Family,2,1199800.0
90210,1412,2,2.5,1962,0.032,None,Condo,0,867600.0
78701,1579,2,2.5,2002,0.08,None,Single Family,1,754600.0
10001,1494,4,4.0,1968,0.04,Minor (Cosmetic),Townhouse,2,1297800.0
33101,2638,4,5.5,1961,1.26,None,Single Family,3,1276300.0
10001,4301,7,6.0,2019,0.2,Full Gut Rehab,Single Family,2,5468500.0
60601,797,1,1.0,1945,0.026,Minor (Cosmetic),Condo,0,256600.0
98101,4030,6,6.0,2021,0.08,Full Gut Rehab,Single Family,2,3261500.0
85001,4003,7,6.0,1968,0.79,Major (Structural/Systems),Single Family,3,1299700.0
94102,2427,3,4.0,1941,0.08,Major (Structural/Systems),Single Family,2,1849300.0
98101,995,1,1.5,2003,0.023,None,Condo,0,494300.0
94102,1980,3,4.5,1975,0.19,None,Single Family,3,1431400.0
30301,2448,4,5.0,1959,0.58,Minor (Cosmetic),Single Family,3,752300.0
30301,2074,4,4.5,1994,0.16,Minor (Cosmetic),Multi-Family,2,776000.0
02108,2442,5,5.5,1976,0.27,Full Gut Rehab,Single Family,2,1854400.0
33101,2473,4,5.0,1991,0.074,None,Townhouse,2,1150800.0
75001,886,1,1.5,2008,0.022,Minor (Cosmetic),Condo,2,268100.0
78701,2319,3,4.5,2009,1.02,Major (Structural/Systems),Single Family,3,1265800.0
78701,1224,2,3.0,1961,0.56,Minor (Cosmetic),Single Family,3,617700.0
10001,2780,5,5.5,2024,0.08,Full Gut Rehab,Single Family,1,3829800.0
94102,1192,2,2.5,2022,0.032,None,Condo,2,966200.0
30301,1122,2,3.0,1954,0.042,Minor (Cosmetic),Condo,1,356400.0
30301,1024,2,3.0,1986,0.033,Major (Structural/Systems),Condo,2,342700.0
33101,1668,3,3.5,2010,0.08,None,Townhouse,2,836500.0
98101,1275,2,3.5,2020,0.013,None,Condo,2,763100.0
98101,2478,4,5.0,2008,0.08,None,Single Family,1,1449800.0
60601,2736,3,5.0,1991,0.1,None,Single Family,2,977800.0
30301,1896,3,4.0,1978,0.081,None,Townhouse,1,536500.0
30301,3342,5,6.0,1941,1.53,None,Single Family,1,964500.0
75001,3007,5,6.0,1984,0.57,Minor (Cosmetic),Single Family,2,899000.0
33101,1167,2,2.5,1963,0.014,None,Condo,1,491100.0
94102,3638,6,6.0,2000,0.44,Full Gut Rehab,Single Family,2,3732300.0
10001,1989,3,3.5,2004,0.105,Minor (Cosmetic),Townhouse,1,1785700.0
30301,1556,2,2.5,1992,0.027,None,Condo,0,415100.0
33101,2955,4,5.5,1960,0.14,Minor (Cosmetic),Single Family,1,1408800.0
90210,971,1,2.0,2006,0.087,Major (Structural/Systems),Townhouse,2,1026600.0
94102,3478,5,6.0,1940,0.26,None,Single Family,2,2482600.0
33101,2601,4,5.0,1998,0.11,Major (Structural/Systems),Single Family,2,1517700.0
90210,2461,4,5.0,1986,0.18,Minor (Cosmetic),Single Family,4,1904000.0
10001,2711,4,5.5,1957,0.28,Major (Structural/Systems),Single Family,0,2534000.0
78701,2241,4,5.5,1972,0.3,Minor (Cosmetic),Single Family,1,1049500.0
60601,2670,4,5.5,1954,0.27,Minor (Cosmetic),Single Family,2,963000.0
33101,2056,4,4.5,1963,0.66,None,Single Family,3,957100.0
10001,3455,6,6.0,1975,0.08,None,Single Family,0,2868700.0
60601,1060,2,2.5,1999,0.023,Minor (Cosmetic),Condo,2,449100.0
10001,1627,1,2.0,1973,0.1,None,Townhouse,2,1146800.0
98101,1806,3,3.5,1990,0.37,Minor (Cosmetic),Single Family,2,1027800.0
60601,2701,5,6.0,1979,0.88,Minor (Cosmetic),Single Family,3,1072300.0
33101,2640,4,5.5,1961,0.31,None,Single Family,1,1244300.0
75001,2791,4,5.0,1955,0.36,None,Single Family,2,799100.0
33101,740,1,1.5,1981,0.038,None,Condo,2,328300.0
78701,550,1,1.0,1955,0.017,Minor (Cosmetic),Condo,2,237300.0
94102,2969,4,6.0,1944,0.49,Minor (Cosmetic),Single Family,2,2141300.0
98101,3613,5,6.0,1945,0.12,Minor (Cosmetic),Single Family,3,1750300.0
02108,1730,2,3.0,1981,0.19,None,Single Family,2,991000.0
10001,1656,2,2.5,1969,0.011,Major (Structural/Systems),Condo,1,1499400.0
85001,2712,4,6.0,1971,0.65,Minor (Cosmetic),Single Family,1,853000.0
98101,3194,5,6.0,1992,1.07,Minor (Cosmetic),Multi-Family,2,1958300.0
30301,960,1,1.0,1958,0.012,None,Condo,1,236500.0
33101,1461,3,3.0,1990,0.35,Minor (Cosmetic),Single Family,2,772600.0
75001,1445,3,3.5,1967,0.048,Major (Structural/Systems),Condo,2,454300.0
78701,1450,3,3.0,1986,0.089,None,Townhouse,3,616100.0
78701,827,2,2.0,2011,0.042,Minor (Cosmetic),Condo,1,438500.0
78701,3243,5,6.0,1940,0.08,Minor (Cosmetic),Single Family,2,1375900.0
10001,1087,1,1.5,2007,0.1,None,Single Family,2,955500.0
60601,1114,2,2.5,1996,0.068,Major (Structural/Systems),Townhouse,3,487400.0
02108,1093,2,2.0,1961,0.049,None,Condo,0,593800.0
90210,1202,2,2.0,1997,0.041,Minor (Cosmetic),Condo,1,981300.0
33101,2018,3,4.0,1952,0.111,None,Townhouse,3,912400.0
10001,1664,2,3.0,1978,0.079,Minor (Cosmetic),Townhouse,2,1406500.0
85001,2938,4,6.0,1966,0.097,None,Townhouse,2,794500.0
85001,2329,4,4.5,1978,0.46,None,Single Family,2,744000.0
30301,2326,3,4.5,2011,0.29,None,Single Family,2,799600.0
98101,821,1,1.0,1951,0.045,Minor (Cosmetic),Condo,2,397000.0
90210,1143,2,3.0,1963,0.016,None,Condo,2,782600.0
30301,1315,2,2.5,1957,0.012,None,Condo,1,336500.0
80202,3402,6,6.0,1954,0.13,None,Single Family,0,1339700.0
85001,578,1,1.5,1999,0.014,Major (Structural/Systems),Condo,1,215100.0
85001,1013,2,2.0,1955,0.012,Minor (Cosmetic),Condo,0,267100.0
30301,2835,5,6.0,2013,0.19,None,Single Family,1,954300.0
02108,2940,4,5.5,1986,0.08,Minor (Cosmetic),Single Family,3,1919400.0
98101,2504,4,5.5,1963,0.55,Minor (Cosmetic),Single Family,2,1404400.0
30301,2906,4,6.0,1984,0.3,Major (Structural/Systems),Single Family,0,954600.0
02108,1893,4,4.5,1958,0.16,None,Single Family,3,1182300.0
10001,3668,5,6.0,1980,0.12,None,Single Family,3,2807700.0
78701,3244,5,6.0,1970,0.29,Minor (Cosmetic),Single Family,3,1447300.0
85001,629,1,1.0,2024,0.027,None,Condo,2,227300.0
60601,723,1,1.0,1955,0.012,None,Condo,0,205600.0
78701,1328,3,4.0,1962,0.093,Major (Structural/Systems),Townhouse,2,669500.0
94102,3008,5,6.0,2017,0.24,None,Single Family,1,2532300.0
33101,1536,2,3.0,1962,0.11,None,Single Family,2,691600.0
85001,1651,2,3.0,1980,0.063,Minor (Cosmetic),Townhouse,1,482200.0
94102,2841,5,6.0,1957,0.21,None,Single Family,3,2014500.0
78701,3147,4,5.5,1975,0.62,Minor (Cosmetic),Multi-Family,3,1435300.0
30301,1916,3,4.0,1951,0.074,Major (Structural/Systems),Townhouse,2,599500.0
60601,1700,2,2.5,2014,0.64,Minor (Cosmetic),Single Family,2,808300.0
60601,3675,5,6.0,2008,0.19,Minor (Cosmetic),Multi-Family,3,1753700.0
60601,2040,4,5.0,1990,0.62,Minor (Cosmetic),Single Family,2,917300.0
98101,2256,4,5.0,2024,0.94,Major (Structural/Systems),Single Family,2,1756900.0
02108,1183,2,2.5,1971,0.011,None,Condo,0,660600.0
75001,2577,3,4.5,2010,0.08,Minor (Cosmetic),Single Family,4,864000.0
75001,1810,3,4.0,1975,0.051,Major (Structural/Systems),Townhouse,3,542800.0
30301,1937,3,4.0,1979,0.08,Major (Structural/Systems),Single Family,2,662200.0
30301,2275,3,4.0,2009,0.21,None,Single Family,2,750500.0
78701,1100,2,2.5,1977,0.041,Major (Structural/Systems),Condo,1,464900.0
78701,618,1,1.5,1993,0.048,None,Condo,0,257900.0
75001,2153,3,4.5,1943,0.19,Minor (Cosmetic),Single Family,1,636600.0
33101,2790,4,5.0,1985,0.41,Full Gut Rehab,Single Family,1,1523600.0
60601,1225,1,2.0,2002,0.091,Minor (Cosmetic),Townhouse,2,485100.0
75001,3367,4,6.0,2013,0.17,Major (Structural/Systems),Single Family,1,1199800.0
30301,2371,4,5.0,1989,0.098,Major (Structural/Systems),Townhouse,2,771100.0
98101,664,1,1.5,1969,0.034,Major (Structural/Systems),Condo,1,356400.0
98101,1575,3,4.0,2012,0.04,Full Gut Rehab,Condo,2,1103400.0
94102,1049,2,2.0,1955,0.018,None,Condo,1,679600.0
78701,2813,5,6.0,1991,0.16,None,Single Family,2,1254800.0
90210,926,2,2.5,1943,0.037,Minor (Cosmetic),Condo,2,716500.0
80202,2215,3,4.5,1965,0.05,Full Gut Rehab,Townhouse,3,1052800.0
78701,2804,3,4.0,1968,0.51,Minor (Cosmetic),Single Family,1,1196900.0
02108,2548,3,4.5,1950,0.08,Major (Structural/Systems),Multi-Family,2,1944800.0
33101,1626,3,4.0,1963,0.14,Major (Structural/Systems),Single Family,2,797300.0
90210,1404,2,3.0,1990,0.09,Minor (Cosmetic),Single Family,2,1161100.0
90210,2640,4,5.0,1981,0.08,Minor (Cosmetic),Single Family,3,2168100.0
75001,3657,5,6.0,1978,0.11,Minor (Cosmetic),Multi-Family,0,978000.0
98101,2988,5,6.0,1946,0.85,None,Single Family,0,1507400.0
94102,1746,3,3.5,1957,0.042,Major (Structural/Systems),Townhouse,1,1390100.0
78701,1279,2,2.0,1942,0.041,None,Townhouse,3,551600.0
60601,1988,4,5.0,2002,0.43,Major (Structural/Systems),Single Family,2,983900.0
10001,3364,5,6.0,1959,0.16,None,Single Family,2,2815300.0
33101,930,2,2.0,2012,0.019,None,Condo,1,487400.0
94102,2607,4,5.0,2013,0.25,None,Single Family,1,2121800.0
90210,723,1,1.0,2009,0.021,Major (Structural/Systems),Condo,0,672300.0
78701,2752,4,5.5,1956,0.17,None,Single Family,3,1101000.0
78701,2156,3,4.5,2018,0.44,Major (Structural/Systems),Single Family,1,1320600.0
33101,1466,2,2.5,1998,0.015,None,Condo,2,663700.0
60601,3080,5,6.0,1993,1.12,Minor (Cosmetic),Single Family,4,1344400.0
85001,2128,4,5.0,1952,0.08,None,Single Family,2,665200.0
78701,2405,3,5.0,1981,0.57,None,Single Family,2,1055400.0
98101,2086,4,5.0,1983,0.45,None,Single Family,2,1099800.0
75001,1435,3,3.5,2019,0.12,Minor (Cosmetic),Single Family,0,502200.0
02108,1414,2,2.5,2006,0.049,None,Townhouse,3,983000.0
80202,2648,5,5.5,2011,0.67,None,Single Family,2,1222800.0
90210,2743,4,5.0,1959,0.4,None,Single Family,2,2029000.0
90210,1151,3,3.0,1986,0.022,None,Condo,0,803700.0
85001,2273,4,5.0,1963,0.08,Minor (Cosmetic),Single Family,4,721900.0
75001,3199,5,6.0,1990,0.98,None,Single Family,3,927700.0
60601,1828,2,3.0,1957,0.072,Minor (Cosmetic),Townhouse,2,611800.0
98101,1346,2,2.5,1962,0.017,Major (Structural/Systems),Condo,2,674500.0
10001,550,1,1.0,1940,0.046,Minor (Cosmetic),Condo,2,441200.0
94102,550,1,1.5,2005,0.024,None,Condo,0,408000.0
02108,2712,4,5.0,1944,0.22,Minor (Cosmetic),Single Family,2,1648400.0
78701,601,1,1.0,1957,0.038,Major (Structural/Systems),Condo,1,269500.0
60601,2340,4,5.0,2019,0.6,Minor (Cosmetic),Single Family,2,1111300.0
33101,2273,4,5.5,2013,0.08,Minor (Cosmetic),Single Family,1,1299000.0
02108,3690,5,6.0,1974,0.8,None,Single Family,3,2306300.0
85001,2799,5,5.5,1964,0.94,None,Single Family,2,962900.0
60601,2624,4,5.0,1963,0.11,Full Gut Rehab,Single Family,2,1193300.0
78701,3869,5,6.0,1952,0.24,Major (Structural/Systems),Multi-Family,0,1875100.0
33101,2776,5,6.0,1960,0.68,None,Single Family,2,1241600.0
80202,2156,3,4.5,1978,0.23,None,Single Family,2,859100.0
10001,3303,5,6.0,1973,0.23,None,Single Family,2,2662400.0
98101,1667,2,2.5,1958,0.34,Full Gut Rehab,Single Family,2,1028500.0
60601,1213,1,1.5,1967,0.041,Minor (Cosmetic),Condo,0,375400.0
90210,1339,2,3.0,1950,0.38,Major (Structural/Systems),Single Family,2,1198100.0
94102,2652,4,5.0,1988,0.34,Minor (Cosmetic),Single Family,2,2032400.0
90210,2644,3,4.5,1974,0.16,Major (Structural/Systems),Single Family,4,2303900.0
90210,1686,3,3.5,2023,0.035,None,Condo,1,1503000.0
30301,1326,1,2.0,2015,0.08,Minor (Cosmetic),Single Family,2,478800.0
60601,2049,3,4.0,1996,0.18,None,Single Family,4,790900.0
80202,3117,5,6.0,1967,0.08,Full Gut Rehab,Single Family,2,1575200.0
94102,2751,4,5.5,2005,0.27,None,Single Family,0,2238600.0
78701,2635,3,4.5,2004,0.11,Minor (Cosmetic),Single Family,3,1305600.0
80202,765,1,1.0,2012,0.03,Major (Structural/Systems),Condo,2,398100.0
10001,893,1,1.0,1961,0.041,Major (Structural/Systems),Condo,0,714000.0
80202,2360,4,4.5,1990,0.075,Major (Structural/Systems),Townhouse,1,1056100.0
98101,2461,4,5.0,1948,0.09,None,Single Family,3,1209400.0
33101,2781,4,5.0,2010,0.09,Full Gut Rehab,Single Family,2,1771600.0
33101,2413,3,4.5,1975,0.83,Minor (Cosmetic),Single Family,1,1211300.0
90210,2253,4,5.0,1993,0.53,Major (Structural/Systems),Multi-Family,2,2323600.0
98101,1426,1,2.0,1977,0.011,Full Gut Rehab,Condo,1,746200.0
33101,1276,2,2.5,2005,0.048,None,Condo,1,596000.0
78701,4229,7,6.0,1982,0.08,Minor (Cosmetic),Single Family,2,1852600.0
30301,1738,2,3.5,1944,0.37,Minor (Cosmetic),Single Family,2,570700.0
33101,3116,4,5.5,2020,0.28,Major (Structural/Systems),Single Family,2,2020700.0
10001,640,1,1.0,1976,0.012,Minor (Cosmetic),Condo,1,495800.0
90210,1870,2,3.5,1997,0.064,None,Townhouse,0,1513400.0
33101,3981,6,6.0,2002,0.52,Major (Structural/Systems),Multi-Family,1,2453000.0
90210,945,2,2.0,1990,0.13,Minor (Cosmetic),Single Family,2,814100.0
78701,2346,4,5.0,2011,0.23,Major (Structural/Systems),Single Family,1,1283600.0
85001,1546,1,2.0,1982,0.096,Minor (Cosmetic),Townhouse,2,436000.0
